questions,answer,hints
Iron Man Movie fue lanzado en el año?,"2,008",Incredible Hulk fue lanzado el mismo año.
Nombre del martillo de Thor?,Organizador,El arma asgardiana más popular
Material del cual se hizo el escudo del Capitán América,Vibranio,El metal más fuerte en la tierra
Vengador más fuerte,Casco,Referencia Thor Ragnarok
¿El nombre completo de Nick?,Nicholas Joseph Fury,Wiki?
Forma completa de J.A.R.V.I.S,Solo un sistema realmente muy inteligente,Acrónimo probablemente
¿Dónde se formó Natasha Romanoff?,cuarto rojo,La instalación recluta a 28 niñas huérfanas para criarlas y convertirse en agentes de cobertura profunda indetectables para infiltrarse.
¿Coulson murió en qué película?,Vengadoras,Primero de una serie
Radiación involucrada en la fabricación de Hulk,Gama,¿El increíble Hulk?
Edad de ?,Ultron,Segunda película de los Vengadores
El lo ve todo. Toda vida está en todo el universo.,Heimdall,Guardia de Bifrost
La ciudad que voló,Sokovia,La ciudad de gemelos
Jefe científico de Hydra,Doctor Arnim Zola,Capitán América: El primer vengador
"Tienes corazón chico, ¿de dónde eres?",Reinas,El Capitán América le dijo esto a Spiderman en Civil War.
S.H.I.E.L.D significa?,"Sede Suprema, División Internacional de Espionaje y Aplicación de la Ley",La forma completa original establecida en los cómics
Arco y flecha es utilizado por?,Hawkeye,Nunca pierde su objetivo
Y yo soy...,Hombre de Acero,Soy inevitable
Nombre del padre de Odin,Bor,Thor 2: El mundo oscuro
Bleecker Street Magician,Doctor extraño,Doctor extraño
¿El tipo que solía dirigir Stark Enterprises al principio con Tony?,Abdías Stane,Stan?
Esta chica le debía un baile a Steve Rogers,Margaret Peggy Carter,Nombre completo. Referencia a la primera película.
"Cortar una cabeza, dos más crecerán en su lugar.",HIDRA,Esta organización malvada creció dentro de SHIELD
¿Dónde se encuentra Wakanda?,África, 
¿Cuál es el nombre de la leyenda cómica de Marvel que ha aparecido en todas las películas del universo cinematográfico de Marvel?,Stan Lee, 
El martillo de Thor mjölnir está hecho de metal desde el corazón de un moribundo ¿qué?,Estrella, 
¿Cuál es el nombre del villano en Ant-Man?,Chaqueta amarilla, 
¿Cuál es el nombre del conjunto de documentos que regulan las actividades de las personas mejoradas?,Acuerdos de Sokovia, 
¿Qué vengador toma Loki brevemente en Thor: el mundo oscuro?,Capitan America, 
¿Cómo se llama la madre de Peter Quill?,Meredith, 
¿Cómo controla Yondu la flecha de Yaka?,Silbando, 
"en Ant-Man, Scott Lang es despedido de su trabajo haciendo qué?",Helado con pala, 
"¿A qué ""una cosa en la tierra"" es alérgico Pepper Potts?",Fresas, 
¿Cuál es la contraseña de wi-fi que Karl Mordo le entrega al Doctor Strange?,Shamballa, 
¿Qué película de MCU presentó la primera aparición de Spider-Man?,Capitán América: Guerra Civil, 
¿Qué fabrica Stark Industries en Iron Man 1?,Armas, 
¿Quién jugó a Hulk antes de Mark Ruffalo?,Edward Norton, 
¿En qué guerra luchó el Capitán América?,Segunda Guerra Mundial, 
¿Qué organización nazi se infiltró en SHIELD?,HIDRA, 
¿Dónde trabajó Scott Lang antes de convertirse en Ant-Man?,Baskin Robbins, 
¿Qué comida rápida comen los Vengadores después de la Batalla de Nueva York?,Shawarma, 
¿Qué película fue la primera aparición del Halcón?,Capitan America; El soldado de invierno, 
¿Quién se opuso al Capitán América en la Guerra Civil?,Hombre de Acero, 
¿En qué planeta están Thor y Hulk en Thor: Ragnarok?,Hecho realidad, 
¿Qué tipo de gigante aparece en Thor?,Gigantes de escarcha, 
¿Dónde se da cuenta Steve Rogers de que está en el siglo XXI?,Times Square, 
¿Quién es el villano principal en The Incredible Hulk?,La abominación, 
¿Cómo se llama la novia de Thor?,Jane Foster, 
Nombre de mercurio,Pietro Maximoff, 
¿El apocalíptico de Asgard que causó Ragnarok fue?,Surtur, 
"¿Nombre del chofer personal, entrenador y guardaespaldas de Tony Stark?",Feliz hogan, 
¿Nombre de la tía del hombre araña?,May Parker, 
