questions,answer,hints
"यौन प्रजनन या अलैंगिक प्रजनन में से कौन सी प्रक्रिया, संतानों में अधिकतम बदलाव लाती है?",यौन प्रजनन, 
कानों से जुड़े मनुष्यों में एक भिन्नता को नाम दें।,फ्री इयरलोबस।, 
एक पीढ़ी और अगली के बीच क्या संबंध बनता है?,युग्मक, 
इन कारकों का आधुनिक नाम क्या है?,जीन, 
कुछ पौधे दो आकारों में से एक में होते हैं और। तपन बौनेपन पर हावी है। इस जीन जोड़ी के लिए उपयुक्त अक्षर चुनें।,Tt, 
गुणसूत्र XY और XX को किस नाम से जाना जाता है?,सेक्स क्रोमोसोम।, 
दोनों में से कौन सा शुक्राणु या डिंब बच्चे का लिंग तय करता है?,शुक्राणु, 
यह बताएं कि निम्नलिखित कथन सही है या गलत:,असत्य, 
एक नए जन्मे बच्चे में गुणसूत्रों की एक XY जोड़ी होती है। यह एक बच्चा लड़का होगा या एक बच्ची होगी?,छोटा बच्चा, 
सेक्स गुणसूत्रों के निम्नलिखित संयोजनों में से कौन सा पुरुष बच्चा पैदा करता है: XX या XY?,XY, 
उस पहले वैज्ञानिक का नाम बताइए जिसने एक पीढ़ी से दूसरी पीढ़ी तक लक्षणों की विरासत का अध्ययन किया।,ग्रेगर मेंडल, 
मेंडल ने किस प्रकार के पौधों का उपयोग विरासत पर अपने प्रयोगों के संचालन के लिए किया था?,मटर के पौधे, 
"एक मानव में, एक निषेचित अंडे में कितने गुणसूत्र मौजूद होते हैं?",46, 
"एक सरीसृप का नाम जहां उच्च ऊष्मायन तापमान नर संतान के विकास की ओर ले जाता है,",छिपकली (धर्म का धर्म), 
एक सरीसृप का नाम दें जहां उच्च ऊष्मायन तापमान मादा संतान के विकास की ओर जाता है।,कछुआ (क्रिसमा पिक्टा), 
एक जानवर का नाम बताइए जिसमें व्यक्ति सेक्स को बदल सकते हैं। यह क्या दर्शाता है?,घोघें, 
आनुवंशिकता विषय पर 'टीटी' प्रतीकों का उपयोग किस विषय में होता है?,लंबा पौधा, 
आनुवंशिकता पर विषय में प्रयुक्त 'tt' चिन्ह क्या दर्शाते हैं?,बौना पौधा, 
आनुवंशिकता पर विषय में प्रयुक्त 'XX ’चिन्ह क्या दर्शाते हैं?,महिला, 
आनुवंशिकता पर विषय में प्रयुक्त 'XY' चिन्ह क्या दर्शाते हैं?,पुरुष, 
शुद्ध लम्बे मटर के पौधे x प्योर बौने मटर के पौधे में F1 पीढ़ियों में आपको क्या मिलेगा?,उत्पादित सभी पौधे लम्बे होंगे, 
शुद्ध लम्बे मटर के पौधे x प्योर बौने मटर के पौधे में F2 पीढ़ियों में आपको क्या मिलेगा?,तीन लम्बे पौधों और एक बौने पौधे का उत्पादन किया जाएगा, 
"राज्य सच या गलत ""शुद्ध लंबा मटर का पौधा x शुद्ध बौना मटर का पौधा"" मोनोहाइब्रिड क्रॉस का एक उदाहरण है",सच, 
लाखों वर्षों में क्रमिक परिवर्तनों के क्रम को क्या नाम दिया जाता है जिसमें नई प्रजातियाँ उत्पन्न होती हैं?,क्रमागत उन्नति।, 
उस वैज्ञानिक का नाम बताइए जिसने विकासवाद का सिद्धांत दिया था।,चार्ल्स रॉबर्ट डार्विन।, 
"यह बताएं कि निम्नलिखित कथन सही है या गलत: ""मानव चिंपांज़ी से विकसित हुआ है।""",असत्य, 
अल्पविकसित आँखों वाले जानवर का नाम बताइए।,Planaria।, 
"निम्नलिखित के पूर्वज का नाम: ""ब्रोकोली, कोहलबी, काले""",जंगली गोभी।, 
पृथ्वी पर जीवन की उत्पत्ति कहाँ से हुई?,समुद्र का पानी, 
उस वैज्ञानिक का नाम बताइए जिसने पृथ्वी पर जीवन की उत्पत्ति का सिद्धांत दिया था?,जे.बी.एस. हल्दाने, 
"एक मानव में, मस्तिष्क की कोशिकाओं में कितने गुणसूत्र मौजूद होते हैं",46, 
"एक मानव में, वृषण में एक शुक्राणु में कितने गुणसूत्र मौजूद होते हैं?",23, 
"मटर के पौधे में ""गोल बीज"" के विपरीत लक्षण दें?",झुर्रीदार बीज, 
इस 'कारक' के लिए आधुनिक नाम दें।,जीन, 
राज्य जहां जीन युग्मक में पाए जाते हैं।,गुणसूत्रों, 
"मटर के पौधे में ""पीले बीज"" के विपरीत लक्षण दें?",हरा बीज, 
राज्य की एक विशेषता जो दर्शाती है कि पक्षी डायनासोर से बहुत निकट से संबंधित हैं।,पंख, 
चार्ल्स रॉबर्ट डार्विन द्वारा लिखित प्रसिद्ध पुस्तक का नाम बताइए।,प्रजाति की उत्पत्ति।, 
कम से कम तीन अकार्बनिक अणुओं के नाम लिखिए जिन्होंने पृथ्वी पर जीवन की उत्पत्ति में मदद की।,"मीथेन, अमोनिया और हाइड्रोजन सल्फाइड।", 
"एक मेंढक, एक पक्षी और एक आदमी के अग्रभाग हड्डियों की एक ही मूल डिजाइन (या मूल संरचना) दिखाते हैं। ऐसे अंगों को क्या नाम दिया गया है?",सजातीय संगठन।, 
दो जीवों का नाम बताइए जो अब विलुप्त हो चुके हैं और उनके जीवाश्मों से अध्ययन किया जाता है।,डायनासोर और आर्कियोप्टेरिक्स।, 
"एक पक्षी के पंख से, एक कीट के पंख से और एक चमगादड़ के पंख से जो दो अंग हैं?",पक्षी के पंख और बल्ले के पंख।, 
"एक पक्षी के पंख से, एक कीट के पंख और एक चमगादड़ के पंख से जो दो अंग हैं?",पक्षियों के पंख और कीड़े के पंख।, 
कृत्रिम चयन की प्रक्रिया द्वारा पाँच प्रकार की सब्जियों का नाम बताइए जिन्हें 'जंगली गोभी' से उत्पन्न किया गया है?,"गोभी, ब्रोकोली, फूलगोभी, कोहलबी और काले।", 
क्या तितली के पंख और चमगादड़ के पंख को सजातीय अंग माना जा सकता है?,नहीं, 
जीवाश्म क्या हैं?,मृत जानवरों या पौधों के अवशेष जो सुदूर अतीत में रहते थे उन्हें जीवाश्म के रूप में जाना जाता है।, 
क्या भौगोलिक अलगाव एक जीव के अटकल में प्रमुख कारक होगा जो अलैंगिक रूप से प्रजनन करता है?,नहीं, 
