questions,answer,hints
"¿Cuál de los procesos, la reproducción sexual o la reproducción asexual, produce variaciones máximas en las crías?",Reproducción sexual, 
Nombra una variación en humanos relacionados con oídos.,Lóbulos de oreja gratis., 
¿Qué constituye el vínculo entre una generación y la siguiente?,Gametos, 
¿Cuál es el nombre moderno de estos factores?,Genes, 
Algunas plantas se presentan en uno de los dos tamaños y. La estatura es dominante a la enanidad. Elija letras adecuadas para este par de genes.,Tt, 
¿Cómo se conocen los cromosomas XY y XX?,Cromosomas sexuales., 
"¿Cuál de los dos, esperma u óvulo, decide el sexo del niño?",Esperma, 
Indique si la siguiente afirmación es verdadera o falsa:,FALSA, 
Un niño recién nacido tiene un par de cromosomas XY. ¿Será un bebé o una niña?,Bebé, 
¿Cuál de las siguientes combinaciones de cromosomas sexuales produce un hijo varón: XX o XY?,XY, 
Nombra al primer científico que estudió la herencia de los rasgos de una generación a la siguiente.,Gregor Mendel, 
¿Qué tipo de plantas utilizó Mendel para llevar a cabo sus experimentos de herencia?,Plantas de guisantes, 
"En un humano, ¿cuántos cromosomas hay en un óvulo fertilizado?",46, 
"Nombra un reptil donde la temperatura de incubación más alta conduce al desarrollo de la progenie masculina,",Lagarto (Religión de religión), 
Nombra un reptil donde la temperatura de incubación más alta conduce al desarrollo de la progenie femenina.,Tortuga (Chrysema Picta), 
Nombra un animal en el que los individuos puedan cambiar de sexo. ¿Qué indica esto?,Caracoles, 
¿Qué representan los símbolos 'TT' utilizados en el tema sobre herencia?,Planta alta, 
¿Qué representan los símbolos 'tt' utilizados en el tema sobre herencia?,Planta enana, 
¿Qué representan los símbolos 'XX' utilizados en el tema sobre herencia?,Hembra, 
¿Qué representan los símbolos 'XY' utilizados en el tema sobre herencia?,Masculina, 
¿Qué obtendrás en las generaciones F1 en la planta de guisantes altos puros x planta de guisantes enanos puros?,todas las plantas producidas serán altas, 
¿Qué obtendrás en las generaciones F2 en la planta de guisante puro alto x planta de guisante enano puro?,se producirán tres plantas altas y una planta enana, 
"Estado Verdadero o Falso ""Planta de arveja pura pura x Planta de arveja enana pura"" es un ejemplo de cruz monohíbrida",CIERTO, 
¿Qué nombre se le da a la secuencia de cambios graduales a lo largo de millones de años en que se producen nuevas especies?,Evolución., 
Nombra al científico que dio la teoría de la evolución.,Charles Robert Darwin., 
"Indique si la siguiente afirmación es verdadera o falsa: ""Los seres humanos han evolucionado a partir de los chimpancés"".",FALSA, 
Nombra un animal con ojos rudimentarios.,Planaria, 
"Nombre el antepasado de lo siguiente: ""Brócoli, colinabo, col rizada""",Repollo salvaje., 
¿Dónde se originó la vida en la tierra?,Agua de mar, 
¿Nombre al científico que dio la teoría del origen de la vida en la tierra?,J.B.S Haldane, 
"En un humano, ¿cuántos cromosomas están presentes en las células cerebrales?",46, 
"En un ser humano, ¿cuántos cromosomas están presentes en un esperma en los testículos?",23, 
"¿Dar los rasgos contrastantes de las ""Semillas redondas"" en la planta de guisantes?",Semilla arrugada, 
"Dé el nombre moderno para este ""factor"".",Genes, 
Indique dónde se encuentran los genes en los gametos.,Cromosomas, 
"¿Dar los rasgos contrastantes de las ""Semillas amarillas"" en la planta de guisantes?",Semilla verde, 
Indique una característica que muestra que las aves están muy relacionadas con los dinosaurios.,Plumas, 
Nombra el famoso libro escrito por Charles Robert Darwin.,El origen de las especies., 
Escriba los nombres de al menos tres moléculas inorgánicas que ayudaron en el origen de la vida en la tierra.,"Metano, Amoníaco y Sulfuro de Hidrógeno.", 
"Las extremidades anteriores de una rana, un pájaro y un hombre muestran el mismo diseño básico (o estructura básica) de los huesos. ¿Qué nombre se le da a tales órganos?",Órganos homólogos., 
Nombra dos organismos que ahora están extintos y estudiados a partir de sus fósiles.,Dinosaurios y Archaeopteryx., 
"Del ala de un pájaro, del ala de un insecto y del ala de un murciélago, ¿cuáles son los dos órganos homólogos?",Alas de pájaro y alas de murciélago., 
"Del ala de un pájaro, del ala de un insecto y del ala de un murciélago, ¿cuáles son dos órganos análogos?",Alas de pájaros y alas de insectos., 
"¿Nombre cinco variedades de vegetales que han sido producidos a partir de ""repollo silvestre"" mediante el proceso de Selección artificial?","Repollo, brócoli, coliflor, colinabo y col rizada.", 
¿Pueden el ala de una mariposa y el ala de un murciélago considerarse órganos homólogos?,No, 
¿Qué son los fósiles?,Los restos de animales o plantas muertos que vivieron en el pasado remoto se conocen como fósiles., 
¿Será el aislamiento geográfico un factor importante en la especiación de un organismo que se reproduce asexualmente?,No, 
Mencione cualquiera de las herramientas para rastrear las relaciones evolutivas que se han utilizado para estudiar la evolución humana.,determinación de secuencias de ADN, 
"De bacterias, arañas, peces y chimpancés, ¿qué organismo tiene un mejor diseño corporal en términos evolutivos?",Las bacterias, 
"¿Cómo se estudian esas especies que ahora están ""extintas""?",Fósiles, 
¿Cuáles son los cuatro grupos sanguíneos en humanos?,"A, B, AB y O.", 
